# OpenNGC (https://github.com/mattiaverga/OpenNGC), CC-BY-SA-4.0
# id	common	type	ra_hours	dec_deg	mag	size_arcmin	alias
IC 1364		GX	21.223522	2.769722	13.41	1.07	
IC 1365		GX	21.232197	2.565389	99.0	1.0	
IC 1365 NED01		GX	21.2322	2.565389	14.95	1.66	
IC 1365 NED02		GX	21.23185	2.563806	15.81	1.38	
IC 1366		GX	21.235561	1.776111	15.79	0.81	
IC 1367		GX	21.236028	2.993806	15.52	0.65	
IC 1368		GX	21.236831	2.178	14.3	1.36	
IC 1369		OC	21.202511	47.7685	99.0	5.1	
IC 137		STAR	1.560808	30.5225	99.0	0.0	
IC 1370		GX	21.253964	2.192028	15.07	0.66	
IC 1371		GX	21.337681	-4.876528	14.98	1.42	
IC 1372		GX	21.338081	-5.604583	15.04	0.83	
IC 1373		GX	21.343681	1.092417	15.34	0.89	
IC 1374		GX	21.350736	1.712972	15.78	0.63	
IC 1375		GX	21.349942	3.985417	15.17	0.58	
IC 1376		OTHER	21.411417	-5.742444	99.0	0.0	
IC 1377		GX	21.424064	4.314222	14.77	0.73	
IC 1378		OTHER	21.381031	55.464306	99.0	0.0	
IC 1379		GX	21.433683	3.097389	15.68	0.59	
IC 138		GX	1.55055	-0.689833	14.72	1.12	
IC 1380		GX	21.453058	2.717667	15.65	0.68	
IC 1381		GX	21.459361	-1.188611	15.49	0.9	
IC 1383		GX	21.461011	-1.102167	15.94	0.62	
IC 1384		GX	21.464742	-1.368556	15.36	0.77	
IC 1385		GX	21.480886	-1.070111	18.25	0.59	
IC 1386		GX	21.493731	-21.195694	13.12	0.97	
IC 1387		GX	21.492908	-1.350917	15.04	0.48	
IC 1388		GX	21.497828	-0.631278	15.02	0.82	
IC 1389		GX	21.535511	-18.018361	15.46	0.81	
IC 139		STAR	1.566456	30.567444	13.1	0.0	
IC 1390		GX	21.540217	-1.862528	15.07	0.65	
